db_name,ionized_mass;
CL 56:0 [M-H]-,1239.839749;
CL 56:1 [M-H]-,1237.824099;
CL 56:2 [M-H]-,1235.808449;
CL 56:3 [M-H]-,1233.792799;
CL 56:4 [M-H]-,1231.777149;
CL 58:0 [M-H]-,1267.871049;
CL 58:1 [M-H]-,1265.855399;
CL 58:2 [M-H]-,1263.839749;
CL 58:3 [M-H]-,1261.824099;
CL 58:4 [M-H]-,1259.808449;
CL 60:0 [M-H]-,1295.902349;
CL 60:1 [M-H]-,1293.886699;
CL 60:2 [M-H]-,1291.871049;
CL 60:3 [M-H]-,1289.855399;
CL 60:4 [M-H]-,1287.839749;
CL 60:5 [M-H]-,1285.824099;
CL 60:6 [M-H]-,1283.808449;
CL 60:7 [M-H]-,1281.792799;
CL 62:0 [M-H]-,1323.93365;
CL 62:1 [M-H]-,1321.918;
CL 62:2 [M-H]-,1319.902349;
CL 62:3 [M-H]-,1317.886699;
CL 62:4 [M-H]-,1315.871049;
CL 62:5 [M-H]-,1313.855399;
CL 62:6 [M-H]-,1311.839749;
CL 62:7 [M-H]-,1309.824099;
CL 62:8 [M-H]-,1307.808449;
CL 64:0 [M-H]-,1351.96495;
CL 64:1 [M-H]-,1349.9493;
CL 64:10 [M-H]-,1331.808449;
CL 64:2 [M-H]-,1347.93365;
CL 64:3 [M-H]-,1345.918;
CL 64:4 [M-H]-,1343.902349;
CL 64:5 [M-H]-,1341.886699;
CL 64:6 [M-H]-,1339.871049;
CL 64:7 [M-H]-,1337.855399;
CL 64:8 [M-H]-,1335.839749;
CL 64:9 [M-H]-,1333.824099;
CL 66:0 [M-H]-,1379.99625;
CL 66:1 [M-H]-,1377.9806;
CL 66:10 [M-H]-,1359.839749;
CL 66:11 [M-H]-,1357.824099;
CL 66:2 [M-H]-,1375.96495;
CL 66:3 [M-H]-,1373.9493;
CL 66:4 [M-H]-,1371.93365;
CL 66:5 [M-H]-,1369.918;
CL 66:6 [M-H]-,1367.902349;
CL 66:7 [M-H]-,1365.886699;
CL 66:8 [M-H]-,1363.871049;
CL 66:9 [M-H]-,1361.855399;
CL 68:0 [M-H]-,1408.02755;
CL 68:1 [M-H]-,1406.0119;
CL 68:10 [M-H]-,1387.871049;
CL 68:11 [M-H]-,1385.855399;
CL 68:12 [M-H]-,1383.839749;
CL 68:13 [M-H]-,1381.824099;
CL 68:2 [M-H]-,1403.99625;
CL 68:3 [M-H]-,1401.9806;
