db_name,ionized_mass;
CAR 10:0 [M+H]+,316.2482;
CAR 10:1;O [M+H]+,330.2275
CAR 10:1;O2 [M+H]+,346.2224
CAR 10:1 [M+H]+,314.2326;
CAR 10:2 [M+H]+,312.2169;
CAR 10:3 [M+H]+,310.2013;
CAR 11:0 [M+H]+,330.2639;
CAR 12:0;O [M+H]+,360.2744
CAR 12:0 [M+H]+,344.2795;
CAR 12:1;O [M+H]+,358.2588
CAR 12:1;O2 [M+H]+,374.2537
CAR 14:0;O [M+H]+,388.3057
CAR 14:0 [M+H]+,372.3108;
CAR 14:1;O2 [M+H]+,402.2850
CAR 14:1 [M+H]+,370.2952;
CAR 14:2;O [M+H]+,384.2744
CAR 14:2;O2 [M+H]+,400.2694
CAR 14:2 [M+H]+,368.2795;
CAR 16:0;O [M+H]+,416.3370
CAR 16:0 [M+H]+,400.3421;
CAR 16:1;O [M+H]+,414.3214
CAR 16:1;O2 [M+H]+,430.3163
CAR 16:1 [M+H]+,398.3265;
CAR 16:2;O [M+H]+,412.3057
CAR 16:2 [M+H]+,396.3108;
CAR 17:0 [M+H]+,414.3578;
CAR 18:0;O [M+H]+,444.3683
CAR 18:0 [M+H]+,428.3734;
CAR 18:1;O [M+H]+,442.3527
CAR 18:1;O2 [M+H]+,458.3476
CAR 18:1 [M+H]+,426.3578;
CAR 18:2;O [M+H]+,440.3370
CAR 18:2;O2 [M+H]+,456.3320
CAR 18:2 [M+H]+,424.3421;
CAR 18:3;O [M+H]+,438.3214
CAR 18:3 [M+H]+,422.3265;
CAR 18:4 [M+H]+,420.3108;
CAR 2:0 [M+H]+,204.1230;
CAR 20:0;O [M+H]+,472.3996
CAR 20:0 [M+H]+,456.4047;
CAR 20:1 [M+H]+,454.3891;
CAR 20:2 [M+H]+,452.3734;
CAR 20:3 [M+H]+,450.3583;
CAR 20:4;O [M+H]+,464.3370
CAR 20:4 [M+H]+,448.3421;
CAR 22:0 [M+H]+,484.4360;
CAR 22:1 [M+H]+,482.4209;
CAR 22:2 [M+H]+,480.4047;
CAR 22:3 [M+H]+,478.3896;
CAR 22:4 [M+H]+,476.3734;
CAR 22:5 [M+H]+,474.3578;
CAR 22:6 [M+H]+,472.3421;
CAR 24:0 [M+H]+,512.4679;
CAR 24:1 [M+H]+,510.4522;
CAR 26:0 [M+H]+,540.4986;
CAR 3:0;O [M+H]+,234.1336
CAR 3:0 [M+H]+,218.1387;
CAR 3:1;O2 [M+H]+,248.1129
CAR 3:1 [M+H]+,216.1230;
CAR 4:0;O [M+H]+,248.1492
CAR 4:0 [M+H]+,232.1543;
CAR 4:1;O2 [M+H]+,262.1285
CAR 4:1 [M+H]+,230.1387;
CAR 4:2;O2 [M+H]+,260.1129
CAR 5:0;O [M+H]+,262.1649
CAR 5:0 [M+H]+,246.1700;
CAR 5:1;O2 [M+H]+,276.1442
CAR 5:1 [M+H]+,244.1543;
CAR 5:2;O2 [M+H]+,274.1285
CAR 6:0;O [M+H]+,276.1805
CAR 6:0 [M+H]+,260.1856;
CAR 6:1;O2 [M+H]+,290.1598
CAR 6:1 [M+H]+,258.1700;
CAR 6:2;O2 [M+H]+,288.1442
CAR 7:0 [M+H]+,274.2013;
CAR 8:0 [M+H]+,288.2169;
CAR 8:1;O [M+H]+,302.1962
CAR 8:1 [M+H]+,286.2013;
CAR 9:0 [M+H]+,302.2326;
Cer 32:1;O2 [M+H]+,510.4881
Cer 32:1;O2 [M+H-H2O]+,492.4775
Cer 32:2;O2 [M+H]+,508.4724
Cer 32:2;O2 [M+H-H2O]+,490.4619
Cer 33:1;O2 [M+H]+,524.5037
Cer 33:1;O2 [M+H-H2O]+,506.4932
Cer 34:1;O2 [M+H]+,538.5194
Cer 34:1;O2 [M+H-H2O]+,520.5088
Cer 34:2;O2 [M+H]+,536.5037
Cer 34:2;O2 [M+H-H2O]+,518.4932
Cer 35:1;O2 [M+H]+,552.5350
Cer 35:1;O2 [M+H-H2O]+,534.5245
Cer 35:2;O2 [M+H]+,550.5194
Cer 35:2;O2 [M+H-H2O]+,532.5088
Cer 36:1;O2 [M+H]+,566.5507
Cer 36:1;O2 [M+H-H2O]+,548.5401
Cer 36:2;O2 [M+H]+,564.5350
Cer 36:2;O2 [M+H-H2O]+,546.5245
Cer 36:3;O2 [M+H]+,562.5194
Cer 36:3;O2 [M+H-H2O]+,544.5088
Cer 38:1;O2 [M+H]+,594.5820
Cer 38:1;O2 [M+H-H2O]+,576.5714
Cer 38:2;O2 [M+H]+,592.5663
Cer 38:2;O2 [M+H-H2O]+,574.5558
Cer 38:3;O2 [M+H]+,590.5507
Cer 38:3;O2 [M+H-H2O]+,572.5401
Cer 39:1;O2 [M+H]+,608.5976
Cer 39:1;O2 [M+H-H2O]+,590.5871
Cer 40:1;O2 [M+H]+,622.6133
Cer 40:1;O2 [M+H-H2O]+,604.6027
Cer 40:2;O2 [M+H]+,620.5976
Cer 40:2;O2 [M+H-H2O]+,602.5871
Cer 40:3;O2 [M+H]+,618.5820
Cer 40:3;O2 [M+H-H2O]+,600.5714
Cer 40:4;O2 [M+H]+,616.5663
Cer 40:4;O2 [M+H-H2O]+,598.5558
Cer 41:1;O2 [M+H]+,636.6289
Cer 41:1;O2 [M+H-H2O]+,618.6184
Cer 41:2;O2 [M+H]+,634.6133
Cer 41:2;O2 [M+H-H2O]+,616.6027
Cer 42:1;O2 [M+H]+,650.6446
Cer 42:1;O2 [M+H-H2O]+,632.6340
Cer 42:2;O2 [M+H]+,648.6289
Cer 42:2;O2 [M+H-H2O]+,630.6184
Cer 42:3;O2 [M+H]+,646.6133
Cer 42:3;O2 [M+H-H2O]+,628.6027
Cer 42:4;O2 [M+H]+,644.5976
Cer 42:4;O2 [M+H-H2O]+,626.5871
Cer 43:1;O2 [M+H]+,664.6602
Cer 43:1;O2 [M+H-H2O]+,646.6497
Cer 43:2;O2 [M+H]+,662.6446
Cer 43:2;O2 [M+H-H2O]+,644.6340
Cer 43:3;O2 [M+H]+,660.6289
Cer 43:3;O2 [M+H-H2O]+,642.6184
Cer 44:1;O2 [M+H]+,678.6759
Cer 44:1;O2 [M+H-H2O]+,660.6653
Cer 44:2;O2 [M+H]+,676.6602
Cer 44:2;O2 [M+H-H2O]+,658.6497
Cer 44:3;O2 [M+H]+,674.6446
Cer 44:3;O2 [M+H-H2O]+,656.6340
